State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Urban_Households,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Having_latrine_facility_within_the_premises_Total_Households,sex_ration,Literacy_rate
Tamil Nadu,Dindigul,10.37780139,77.7801128,612,2159775,1080938,1078837,1481834,816180,209640,500057,9155,38677,269724,1595029,480681,2075710,1065734,647806,222834,15538,147737,15800,187447,998.0,68.61
Tamil Nadu,Erode,11.26701216,77.42034335,610,2251744,1129868,1121876,1492662,828300,371015,595211,18604,58861,432398,1510680,608003,2118683,1006543,701326,368604,33405,288543,37339,322847,993.0,66.29
Tamil Nadu,Kancheepuram,12.49642476,80.0882036,604,3998252,2012958,1985294,3013382,1611461,622095,961161,100322,200738,774705,2867809,678374,3546183,2076492,1200284,425865,68427,418526,137686,651240,986.0,75.37
Tamil Nadu,Kanniyakumari,8.1834663,77.32053064,629,1870374,926345,944029,1548738,780541,199188,465692,15673,52943,493788,1625788,210901,1836689,887052,556548,122491,21577,115092,23194,427853,1019.0,82.8
Tamil Nadu,Karur,10.79532777,78.08749687,613,1064493,528184,536309,727044,401726,135831,264949,4915,17995,152420,759410,276930,1036340,501585,320645,153941,10648,117119,10393,118708,1015.0,68.3
Tamil Nadu,Madurai,9.904313833,78.01366033,623,3038252,1526475,1511777,2273430,1223810,391821,754141,34097,95311,592723,2398674,449125,2847799,1528178,913715,325803,30852,228557,54832,472221,990.0,74.83
Tamil Nadu,Nagapattinam,10.78946816,79.79437299,618,1616450,798127,818323,1213008,640916,143846,381940,5585,19692,118724,1306690,253572,1560262,828444,463326,219886,9042,86939,9238,163184,1025.0,75.04
Tamil Nadu,Namakkal,11.33766638,78.14624841,609,1726601,869280,857321,1176131,653312,265276,441044,8960,31581,257127,1200360,388418,1588778,817905,510413,262313,18550,212434,19466,194417,986.0,68.12
Tamil Nadu,Perambalur,11.26013776,78.86034012,615,565223,282157,283066,375823,208011,49390,135751,1507,7745,33179,443373,109011,552384,291371,158218,59863,2259,32178,2687,33135,1003.0,66.49
Tamil Nadu,Pudukkottai,10.13051482,79.05444484,621,1618345,803188,815157,1110545,608776,82967,354493,4494,18272,104229,1167183,447346,1614529,835853,470428,209024,7882,110324,8191,109247,1015.0,68.62
